name,slug,category,description,image_url,tags,is_active,barcode,sku
Ajwa Dates 400g,ajwa-dates-400g,Pantry,Premium Ajwa dates from Medina tradition.,/uploads/products/ajwa-dates.jpg,arabic|dates|pantry,true,8902001000113,SKU-AJWA-400
Alphonso Mangoes 1kg,alphonso-mangoes-1kg,Produce,Seasonal Alphonso-style mangoes.,/uploads/products/mango.jpg,india|pakistan|bangladesh|fruit,true,8902001000148,SKU-MANGO-FR-1
Arabic Coffee (Qahwa) 250g,arabic-coffee-qahwa-250g,Beverages,Light roasted Arabic coffee with cardamom notes.,/uploads/products/arabic-coffee.jpg,arabic|coffee|beverages,true,8902001000102,SKU-QAHWA-250
Assam Tea 450g,assam-tea-450g,Beverages,Strong Assam leaf tea for chai.,/uploads/products/assam-tea.jpg,india|bangladesh|tea|beverages,true,8902001000100,SKU-TEA-450
Aubergine 500g,aubergine-500g,Produce,Aubergine / brinjal for baingan bharta and begun bhaja.,/uploads/products/eggplant.jpg,india|pakistan|bangladesh|arabic|produce,true,8902001000077,SKU-BAINGAN-500
Baby Spinach 200g,baby-spinach-200g,Produce,Fresh spinach for saag and salads.,/uploads/products/spinach.jpg,india|pakistan|arabic|produce,true,8902001000075,SKU-SPIN-200
Baharat Spice Mix 100g,baharat-spice-mix-100g,Pantry,Warm Arabic seven-spice style blend.,/uploads/products/baharat.jpg,arabic|spice|pantry,true,8902001000046,SKU-BAHARAT-100
Baklava Assortment 250g,baklava-assortment-250g,Pantry,Honey-soaked filo pastry assortment.,/uploads/products/baklava.jpg,arabic|sweets|pantry,true,8902001000116,SKU-BAKLAVA-250
Bananas 1kg,bananas-1kg,Produce,Ripe bananas for the fruit bowl.,/uploads/products/banana.jpg,india|pakistan|bangladesh|arabic|fruit,true,8902001000145,SKU-BANANA-1
Basmati Rice 10kg,basmati-rice-10kg,Pantry,Bulk aged basmati for large family kitchens.,/uploads/products/rice.jpg,india|pakistan|bangladesh|rice|pantry,true,8902001000002,SKU-BAS-10
Basmati Rice 1kg,basmati-rice-1kg,Pantry,Premium aged long-grain basmati for everyday pulao and biryani.,/uploads/products/rice.jpg,india|pakistan|bangladesh|rice|pantry,true,8902001000001,SKU-BAS-1
Basmati Rice 5kg,basmati-rice-5kg,Pantry,Premium long grain basmati — family pack.,/uploads/products/rice.jpg,india|pakistan|bangladesh|rice|pantry,true,8901001000001,SKU-RICE-5
Bay Leaves 20g,bay-leaves-20g,Pantry,Dried bay leaves for rice and stews.,/uploads/products/bay-leaves.jpg,india|pakistan|arabic|spice|pantry,true,8902001000043,SKU-BAY-20
Beef Boneless 1kg,beef-boneless-1kg,Meat & Poultry,Halal boneless beef for curries and stews.,/uploads/products/beef-boneless.jpg,pakistan|bangladesh|beef|meat,true,8902001000137,SKU-BBONE-1
Beef Curry Pieces 1kg,beef-curry-pieces-1kg,Meat & Poultry,Halal beef bone-in pieces for Bengali and Pakistani beef curry.,/uploads/products/beef-curry.jpg,bangladesh|pakistan|beef|meat,true,8902001000065,SKU-BEEF-1
Beef Keema 500g,beef-keema-500g,Meat & Poultry,Halal minced beef.,/uploads/products/beef-keema.jpg,pakistan|bangladesh|india|beef|meat,true,8902001000066,SKU-BKEEMA-500
Beef Ribs 1kg,beef-ribs-1kg,Meat & Poultry,Halal beef ribs for slow cooking.,/uploads/products/beef-ribs.jpg,pakistan|bangladesh|beef|meat,true,8902001000138,SKU-BRIBS-1
Beef Steak 500g,beef-steak-500g,Meat & Poultry,Halal beef steak cuts.,/uploads/products/beef-steak.jpg,pakistan|bangladesh|beef|meat,true,8902001000136,SKU-BSTEAK-500
Bengali Doi 500g,bengali-doi-500g,Dairy & Eggs,Set sweet-style Bengali doi yoghurt.,/uploads/products/bengali-doi.jpg,bangladesh|dairy,true,8902001000091,SKU-DOI-500
Besan (Gram Flour) 1kg,besan-gram-flour-1kg,Pantry,"Chickpea flour for pakora, bhaji, and sweets.",/uploads/products/besan.jpg,india|pakistan|bangladesh|flour|pantry,true,8902001000022,SKU-BESAN-1
Biryani Masala 100g,biryani-masala-100g,Pantry,Ready biryani spice mix for layered rice dishes.,/uploads/products/biryani-masala.jpg,india|pakistan|bangladesh|spice|pantry,true,8902001000036,SKU-BIRY-100
Bitter Gourd 500g,bitter-gourd-500g,Produce,Karela / korola for traditional bitter vegetable dishes.,/uploads/products/bitterGourd.jpg,india|bangladesh|produce,true,8902001000079,SKU-KARELA-500
Black Peppercorns 100g,black-peppercorns-100g,Pantry,Whole black pepper for fresh grinding.,/uploads/products/black-pepper.jpg,india|pakistan|bangladesh|arabic|spice|pantry,true,8902001000042,SKU-PEPPER-100
Bottle Gourd 1kg,bottle-gourd-1kg,Produce,Lauki / lau — mild gourd for dals and curries.,/uploads/products/bottleGourd.jpg,india|pakistan|bangladesh|produce,true,8902001000078,SKU-LAUKI-1
Broken Basmati Rice 5kg,broken-basmati-rice-5kg,Pantry,"Economical broken basmati for khichdi, payesh, and everyday meals.",/uploads/products/broken-rice.jpg,bangladesh|india|pakistan|rice|pantry,true,8902001000005,SKU-BRICE-5
Brown Eggs (12),brown-eggs-12,Dairy & Eggs,Box of 12 brown eggs.,/uploads/products/brown-eggs.jpg,india|pakistan|bangladesh|arabic|eggs,true,8902001000169,SKU-EGGS-BR-12
Brown Onions 1kg,brown-onions-1kg,Produce,Everyday cooking onions.,/uploads/products/onion.jpg,india|pakistan|bangladesh|arabic|produce,true,8902001000070,SKU-ONION-1
Bulgur Wheat 1kg,bulgur-wheat-1kg,Pantry,"Fine bulgur for tabbouleh, pilafs, and Levantine sides.",/uploads/products/bulgur.jpg,arabic|grains|pantry,true,8902001000006,SKU-BULGUR-1
Cardamom Coffee 200g,cardamom-coffee-200g,Beverages,Arabic coffee blend with cardamom.,/uploads/products/cardamom-coffee.jpg,arabic|coffee|beverages,true,8902001000162,SKU-CARDCOF-200
Ceylon Tea 450g,ceylon-tea-450g,Beverages,Classic Ceylon leaf tea.,/uploads/products/ceylon-tea.jpg,india|pakistan|bangladesh|tea|beverages,true,8902001000159,SKU-CTEA-450
Chakki Atta 10kg,chakki-atta-10kg,Pantry,Family pack chakki atta.,/uploads/products/flour.jpg,india|pakistan|bangladesh|flour|pantry,true,8902001000021,SKU-ATTA-10
Chakki Atta 5kg,chakki-atta-5kg,Pantry,Stone-ground whole wheat flour for roti and chapati.,/uploads/products/flour.jpg,india|pakistan|bangladesh|flour|pantry,true,8902001000020,SKU-ATTA-5
Chana Dal 1kg,chana-dal-1kg,Pantry,"Split chickpeas for stews, snacks, and bhaja.",/uploads/products/chana-dal.jpg,india|bangladesh|pakistan|dal|pantry,true,8902001000014,SKU-CHANA-1
Chapati (6 pack),chapati-6-pack,Pantry,Ready-to-heat plain chapati / roti.,/uploads/products/chapati.jpg,india|pakistan|bangladesh|bread|pantry,true,8902001000155,SKU-CHAPATI-6
Chicken Breast 1kg,chicken-breast-1kg,Meat & Poultry,Boneless halal chicken breast.,/uploads/products/chicken-breast.jpg,india|pakistan|bangladesh|arabic|chicken|meat,true,8902001000061,SKU-CBREAST-1
Chicken Drumsticks 1kg,chicken-drumsticks-1kg,Meat & Poultry,Halal chicken drumsticks for roasting and curry.,/uploads/products/chicken-drumsticks.jpg,india|pakistan|bangladesh|arabic|chicken|meat,true,8902001000130,SKU-CDRUM-1
Chicken Keema 500g,chicken-keema-500g,Meat & Poultry,Halal minced chicken for keema curry and kebabs.,/uploads/products/chicken-keema.jpg,india|pakistan|bangladesh|chicken|meat,true,8902001000062,SKU-CKEEMA-500
Chicken Thighs 1kg,chicken-thighs-1kg,Meat & Poultry,Halal chicken thighs.,/uploads/products/chicken-thighs.jpg,india|pakistan|bangladesh|arabic|chicken|meat,true,8901001000002,SKU-CHICK-1
Cinnamon Sticks 50g,cinnamon-sticks-50g,Pantry,Cassia cinnamon quills for curries and desserts.,/uploads/products/cinnamon.jpg,india|pakistan|arabic|spice|pantry,true,8902001000041,SKU-CINN-50
Cloves 50g,cloves-50g,Pantry,Whole cloves for garam masala and Arabic rice.,/uploads/products/cloves.jpg,india|pakistan|arabic|spice|pantry,true,8902001000040,SKU-CLOVE-50
Coconut Milk 400ml,coconut-milk-400ml,Pantry,Canned coconut milk for curries and desserts.,/uploads/products/coconut-milk.jpg,india|bangladesh|pantry,true,8902001000124,SKU-COCO-400
